loan_id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,issue_date,loan_status,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,open_acc,pub_rec,revol_util,total_acc,total_pymnt
LC000001,15000,15000,60 months,14.95,356.46,C,C1,9 years,RENT,78777.99,2024-04-17,Fully Paid,vacation,AZ,36.23,0,624,628,20,0,21.8,20,6507.43
LC000002,15000,15000,60 months,20.86,404.62,E,E2,10+ years,MORTGAGE,77467.06,2023-02-25,Charged Off,education,NY,8.58,0,774,778,5,0,26.4,6,5566.68
LC000003,10000,10000,60 months,23.42,284.32,E,E5,2 years,MORTGAGE,110144.51,2018-10-20,Charged Off,small_business,MO,18.3,1,812,816,22,0,35.5,30,2773.56
LC000004,5000,5000,36 months,9.3,159.7,B,B5,2 years,RENT,41943.39,2020-05-20,Charged Off,education,MA,16.04,0,717,721,4,1,87.5,14,739.88
LC000005,35000,35000,60 months,13.45,804.44,C,C3,7 years,MORTGAGE,86742.56,2022-09-26,Charged Off,education,WA,9.84,1,832,836,4,0,15.3,9,11111.4
LC000006,25000,25000,36 months,28.61,1042.35,F,F1,2 years,MORTGAGE,71299.65,2023-09-11,Late (31-120 days),medical,IN,15.27,0,660,664,16,0,71.9,21,5608.71
LC000007,40000,38936.97,60 months,5.07,756.13,A,A5,7 years,RENT,146540.9,2023-06-14,Current,vacation,IL,35.76,0,737,741,9,0,94.6,11,3857.73
LC000008,20000,20000,36 months,14.85,691.84,C,C5,< 1 year,MORTGAGE,55069.68,2021-10-16,Fully Paid,vacation,GA,28.51,1,771,775,16,0,24.8,18,3703.83
LC000009,25000,25000,36 months,14.68,862.72,C,C2,< 1 year,OWN,44383.33,2022-11-01,Fully Paid,education,MA,9.63,1,822,826,9,0,19.0,12,22700.94
LC000010,20000,20000,36 months,25.14,796.68,F,F1,3 years,OWN,79974.83,2018-07-27,Charged Off,vacation,CA,19.77,0,722,726,16,1,44.3,19,1995.73
LC000011,40000,40000,60 months,13.14,912.99,C,C2,8 years,OWN,16661.89,2021-07-08,Fully Paid,moving,IN,30.57,0,829,833,6,0,5.8,7,11556.77
LC000012,20000,20000,36 months,27.47,821.56,F,F1,1 year,RENT,14570.79,2020-12-23,Charged Off,medical,MA,7.87,2,847,851,12,0,71.5,19,111.79
LC000013,30000,30000,60 months,15.52,721.91,C,C5,1 year,RENT,42836.78,2024-03-21,Fully Paid,home_improvement,IL,17.93,1,660,664,16,0,61.1,16,29727.0
